id,date,ip_address,sensor_name,current,voltage,active_power,reactive_power
61,2025-04-06 23:06:31,192.168.3.3,Office3,38.316,107.544,2377.36,535.387
62,2025-04-06 23:06:58,192.168.2.2,Office3,7.629,318.102,1940.18,14960.7
63,2025-04-06 23:07:54,192.168.2.2,Office1,20.953,92.558,328.43,4412.55
64,2025-04-06 23:08:47,192.168.1.1,Office1,3.595,377.837,3401.47,949.532
65,2025-04-06 23:09:42,192.168.3.3,Office2,44.837,10.221,1237.87,10299.5
66,2025-04-06 23:10:42,192.168.2.2,Office1,20.218,158.909,11700.4,5948.5
67,2025-04-06 23:11:21,192.168.1.1,Office1,4.303,104.023,2470.37,5142.23
68,2025-04-06 23:12:23,192.168.2.2,Office3,22.072,134.943,15719.6,3258.27
69,2025-04-06 23:12:46,192.168.2.2,Office2,20.932,181.318,6357.14,2104.12
70,2025-04-06 23:14:31,192.168.2.2,Office1,43.449,166.698,1206.26,2070.93
71,2025-04-06 23:15:28,192.168.2.2,Office3,21.78,261.314,14424.9,16107.7
72,2025-04-06 23:18:48,192.168.2.2,Office1,43.835,399.377,10434.5,2994.83
73,2025-04-06 23:19:18,192.168.2.2,Office1,6.471,83.7,3141.16,1872.14
74,2025-04-06 23:20:46,192.168.2.2,Office2,4.075,408.542,7272.58,3358.58
75,2025-04-06 23:21:46,192.168.2.2,Office2,44.208,280.491,8556.62,7099.8
76,2025-04-06 23:22:21,192.168.2.2,Office1,40.65,363.43,4497.25,1364.21
77,2025-04-06 23:23:21,192.168.2.2,Office2,12.619,210.837,10555.5,4901.12
78,2025-04-06 23:24:08,192.168.3.3,Office3,37.56,348.681,2840.11,11164.4
79,2025-04-06 23:24:47,192.168.1.1,Office1,7.928,39.025,4622.16,2935.99
80,2025-04-06 23:25:17,192.168.1.1,Office1,19.174,246.554,1271.65,2894.88
81,2025-04-06 23:26:18,192.168.3.3,Office3,9.978,224.388,1457.82,17315
82,2025-04-06 23:27:05,192.168.2.2,Office1,37.036,410.017,1658.93,2952.31
83,2025-04-06 23:28:05,192.168.2.2,Office1,22.526,210.934,14200.3,1610.23
84,2025-04-06 23:29:05,192.168.1.1,Office3,44.189,393.107,71.232,5350.65
85,2025-04-06 23:30:05,192.168.1.1,Office2,21.664,186.292,38.858,4160.03
86,2025-04-06 23:31:05,192.168.2.2,Office2,49.618,369.489,998.25,825.147
87,2025-04-06 23:32:05,192.168.2.2,Office3,18.233,265.454,10868.5,2270.18
88,2025-04-06 23:33:08,192.168.1.1,Office2,35.193,346.944,1307.45,2684.57
